seed,previous_pattern,pattern,base_price,Monday AM,Monday PM,Tuesday AM,Tuesday PM,Wednesday AM,Wednesday PM,Thursday AM,Thursday PM,Friday AM,Friday PM,Saturday AM,Saturday PM
72626,2,0,98,129,106,129,108,69,64,118,122,108,76,71,65
91535,1,2,108,96,93,88,84,79,75,71,65,60,55,50,47
59433,0,1,102,88,83,79,74,70,110,167,512,189,114,72,52
51536,3,0,101,63,54,140,130,97,98,135,72,66,57,129,108
97516,3,2,97,83,80,77,73,69,65,62,58,55,50,47,44
66157,0,1,98,86,83,79,76,71,67,112,146,212,162,97,78
52866,1,0,92,99,93,115,85,101,64,57,49,91,116,68,60
78850,2,3,100,72,126,125,149,170,154,53,48,45,40,37,33
7410,1,0,108,126,76,66,60,103,145,101,108,140,84,75,138
32985,2,0,93,93,85,121,125,91,94,59,54,46,119,58,51
58375,1,0,110,125,113,109,102,88,79,69,140,69,63,107,148
3097,0,0,100,115,140,99,94,138,115,80,74,111,68,62,58
92860,0,3,108,86,81,77,74,70,65,61,136,104,158,161,157
1975,3,2,92,82,78,73,69,66,63,59,54,50,47,44,41
77938,2,1,95,83,80,77,119,168,301,157,109,77,56,57,81
33605,1,0,95,87,102,70,65,114,133,124,62,58,54,91,91
34253,0,0,92,121,113,66,59,54,90,66,61,114,91,123,129
41482,0,1,97,83,94,161,363,189,116,84,66,84,73,56,81
90732,3,1,97,85,81,78,75,72,131,149,521,171,115,52,47
65149,1,2,101,89,85,81,77,72,68,64,60,56,52,48,44
57063,3,0,107,108,119,133,122,129,81,75,129,84,80,75,123
782,3,0,95,93,75,68,63,104,102,87,124,117,59,54,87
28695,2,1,105,94,116,199,474,176,135,44,69,82,55,63,58
72957,3,0,93,107,128,101,72,63,57,95,87,68,63,124,121
70241,0,3,110,46,42,148,142,199,209,198,48,43,38,33,28
45296,1,2,91,80,77,73,69,65,61,57,54,51,47,43,39
22371,1,0,96,88,134,127,89,110,132,75,67,107,61,56,51
87208,3,0,105,113,147,102,140,126,128,84,75,97,67,61,52
71746,1,0,99,136,66,56,98,98,132,96,75,67,58,127,134
88547,3,3,110,98,93,89,110,102,210,215,194,53,49,44,40
33636,3,3,108,69,66,61,56,52,47,152,128,179,204,183,94
67143,2,2,95,85,82,78,74,70,66,62,58,54,50,46,42
60553,0,1,100,87,84,81,138,174,451,197,106,69,70,50,85
6665,1,0,107,101,118,130,66,60,103,139,75,71,61,127,148
76825,2,3,105,47,44,126,146,169,175,172,84,80,76,72,67
82687,2,0,103,98,99,120,135,77,73,65,96,63,56,105,117
14485,3,0,96,91,102,122,134,124,68,63,55,125,64,55,99
238,2,1,95,83,79,76,72,69,66,62,88,175,292,165,120
49388,1,0,105,104,141,128,124,126,81,73,147,134,81,71,62
9700,1,2,102,88,84,81,77,72,69,64,59,54,50,46,42
69236,1,0,110,82,73,136,136,144,144,86,77,66,103,141,110
62507,2,1,104,90,86,107,169,308,163,116,57,43,84,83,94
75498,2,0,109,153,146,79,73,65,129,87,79,137,114,144,139
46180,2,0,110,154,126,119,117,131,81,75,66,141,79,74,154
77747,1,2,102,90,85,82,77,72,68,64,60,57,53,49,45
75159,3,1,97,86,83,79,75,71,68,98,142,271,163,114,41
97628,2,0,109,128,112,109,83,73,66,100,137,82,75,140,150
17796,1,0,93,117,57,53,47,104,113,127,115,117,123,73,67
44955,1,3,91,89,117,133,147,132,66,62,59,55,52,48,45
83543,0,0,98,111,128,67,59,98,110,95,90,96,78,69,65
57618,2,1,100,88,83,79,75,71,117,149,457,159,134,89,77
39979,1,3,106,136,136,165,189,179,93,89,84,80,76,72,68
79180,0,1,103,90,87,135,205,287,163,135,63,64,83,64,84
49201,0,1,101,87,83,78,75,133,191,239,163,92,61,70,64
