trend_id,Monday AM,Monday PM,Tuesday AM,Tuesday PM,Wednesday AM,Wednesday PM,Thursday AM,Thursday PM,Friday AM,Friday PM,Saturday AM,Saturday PM,naive_bayes_prediction,knn_prediction
0,149,105,122,68,59,55,127,153,137,141,71,60,0,0
1,81,77,74,69,65,136,134,153,161,134,55,54,3,3
2,119,136,100,68,58,53,144,72,64,105,87,119,0,0
3,68,62,54,117,113,69,62,124,109,97,98,123,0,0
4,80,76,72,70,65,61,57,100,122,143,150,141,3,3
5,148,112,73,64,59,107,146,105,136,101,81,73,0,0
6,92,72,68,59,110,122,68,62,120,132,119,112,0,0
7,43,40,36,32,28,139,118,146,148,142,61,57,3,3
8,42,39,35,32,28,24,117,100,138,165,135,40,3,3
9,85,80,76,72,68,64,126,117,142,179,163,63,3,3
10,127,144,156,170,150,73,69,64,60,55,52,47,0,3
11,85,81,139,138,160,169,160,65,62,59,54,49,3,3
12,123,122,109,101,72,64,57,141,115,142,78,72,0,0
13,128,85,77,69,149,66,62,153,124,114,100,122,0,0
14,63,58,54,49,46,42,118,122,151,166,164,43,3,3
15,86,124,104,67,60,126,68,63,58,104,108,131,0,0
16,38,34,31,28,24,21,17,114,126,131,139,134,3,3
17,86,82,79,74,69,65,61,57,52,49,45,42,2,2
18,84,81,77,71,152,119,178,217,180,94,88,85,1,3
19,96,93,88,83,79,130,203,358,173,114,80,95,1,1
20,98,136,183,369,162,126,97,56,45,80,93,84,1,1
21,92,87,82,79,74,117,107,151,154,153,54,51,3,3
22,47,43,39,35,31,129,91,156,178,164,40,38,3,3
23,103,139,145,157,147,62,58,54,50,48,44,39,0,3
24,88,83,78,75,126,156,253,166,128,80,59,66,1,1
25,83,79,76,73,69,66,62,58,54,51,47,43,2,2
26,89,84,80,77,72,69,63,60,55,52,48,44,2,2
27,84,80,77,73,69,64,119,145,149,151,149,73,3,3
28,96,91,86,137,198,514,186,104,44,71,80,81,1,1
29,95,90,86,81,76,71,68,64,60,57,53,50,2,2
30,85,81,76,90,132,162,192,150,73,69,65,61,3,3
31,59,51,103,115,120,104,74,68,61,104,119,89,0,0
32,42,38,32,127,102,133,134,133,49,46,42,38,3,3
33,86,82,78,74,70,66,61,58,54,49,46,42,2,2
34,105,110,67,58,49,136,124,110,106,98,78,73,0,0
35,83,80,76,73,69,65,61,58,55,51,47,43,2,2
36,70,66,62,59,55,52,48,105,91,131,166,155,3,3
37,113,104,137,135,112,103,68,63,56,152,71,66,0,0
38,78,75,71,67,65,60,112,133,201,128,96,37,3,1
39,90,86,83,79,76,71,66,107,149,305,187,140,1,1
40,40,38,31,27,23,20,117,109,140,172,145,49,3,3
41,90,86,83,78,73,69,114,149,509,149,136,87,1,1
42,49,44,115,106,135,140,136,65,62,59,54,50,3,3
43,111,67,59,102,127,120,97,99,116,72,63,54,0,0
44,77,101,128,355,130,95,68,78,48,67,56,75,1,1
45,115,72,68,141,123,121,132,127,118,69,60,55,0,0
46,70,60,55,103,137,110,73,64,134,118,104,108,3,0
47,85,81,78,74,70,65,103,190,522,163,111,85,1,1
48,78,75,72,69,82,153,477,147,102,61,60,124,1,1
49,120,104,78,71,66,109,145,66,60,111,105,105,0,0
50,83,78,75,72,69,94,128,132,161,142,50,46,3,3
51,109,141,141,91,73,66,100,117,118,72,65,56,0,0
52,59,55,51,47,44,41,36,129,133,172,185,181,3,3
53,70,66,61,56,53,49,72,105,148,166,163,54,3,3
54,90,89,82,138,280,384,180,133,85,78,80,84,1,1
55,47,43,39,35,94,98,148,173,177,79,76,72,3,3
56,105,143,74,68,58,132,66,61,101,102,134,101,0,0
57,73,68,63,93,104,77,71,105,133,115,106,95,0,0
58,87,83,80,76,71,67,99,189,239,177,91,68,1,1
59,57,52,48,45,40,138,144,145,184,179,63,58,3,3
60,117,123,102,133,111,81,74,98,80,71,66,142,0,0
61,121,148,92,78,73,65,89,105,137,78,73,66,0,0
62,80,75,71,114,140,227,173,93,73,54,38,51,3,1
63,80,77,74,70,66,63,60,56,51,48,45,41,2,2
64,72,68,64,60,114,127,134,158,148,56,53,49,3,3
65,85,81,78,74,70,67,63,59,55,51,47,43,2,2
66,92,88,84,79,74,71,67,64,61,57,54,50,2,2
67,52,48,132,138,147,160,154,84,80,76,72,68,3,3
68,82,78,74,69,68,66,62,56,52,48,45,40,2,2
69,97,94,79,72,65,94,107,127,91,62,55,127,0,0
70,49,43,42,37,33,30,127,133,159,160,158,46,3,3
71,89,84,81,76,71,67,63,59,54,50,47,42,2,2
72,101,107,96,127,128,62,58,49,96,88,62,56,0,0
73,48,43,38,32,29,100,101,152,155,150,58,54,3,3
74,87,84,80,77,73,69,64,61,57,54,49,45,2,2
75,132,139,120,105,66,60,51,96,98,67,61,146,0,0
